frequency,word,definitions
1,POINTS,"['a geometric element that has position but no extension', 'the precise location of something; a spatially limited location', 'a brief version of the essential meaning of something', 'an isolated fact that is considered separately from the whole', 'a specific identifiable position in a continuum or series or especially in a process', 'an instant of time', 'the object of an activity', 'a V shape', 'a very small circular shape', 'the unit of counting in scoring a game or contest', 'a promontory extending out into a large body of water', 'a distinct part that can be specified separately in a group of things that could be enumerated on a list', 'a style in speech or writing that arrests attention and has a penetrating or convincing quality or effect', 'an outstanding characteristic', 'sharp end', 'any of 32 horizontal directions indicated on the card of a compass', 'a linear unit used to measure the size of type; approximately 1/72 inch', 'one percent of the total principal of a loan; it is paid at the time the loan is made and is independent of the interest on the loan', 'a punctuation mark (.', 'a V-shaped mark at one end of an arrow pointer', 'the dot at the left of a decimal fraction', 'the property of a shape that tapers to a sharp tip', 'a distinguishing or individuating characteristic', ""the gun muzzle's direction"", 'a wall socket', 'a contact in the distributor; as the rotor turns its projecting arm contacts them and current flows to the spark plugs']"
1,POINTS,"['indicate a place, direction, person, or thing; either spatially or figuratively', 'be oriented', 'direct into a position for use', 'direct the course; determine the direction of travelling', 'be a signal for or a symptom of', 'sail close to the wind', 'mark (Hebrew words', 'mark with diacritics', 'mark (a psalm text', 'be positionable in a specified manner', 'intend (something', 'indicate the presence of (game', 'give a point to', 'repair the joints of bricks']"
1,POSSIBLE,"['something that can be done', 'an applicant who might be suitable']"
1,POSSIBLE,"['capable of happening or existing', 'existing in possibility']"
1,READERS,"['a person who enjoys reading', 'someone who contracts to receive and pay for a service or a certain number of issues of a publication', 'a person who can read; a literate person', 'someone who reads manuscripts and judges their suitability for publication', 'someone who reads proof in order to find errors and mark corrections', 'someone who reads the lessons in a church service; someone ordained in a minor order of the Roman Catholic Church', 'a public lecturer at certain universities', 'one of a series of texts for students learning to read']"
1,RISING,"['a movement upward', 'organized opposition to authority; a conflict in which one faction tries to wrest control from another']"
1,RISING,"['advancing or becoming higher or greater in degree or value or status', 'sloping upward', 'coming to maturity', 'newly come into prominence']"
1,RISING,"['move upward', 'increase in value or to a higher point', ""rise to one's feet"", 'rise up', 'come to the surface', 'come into existence; take on form or shape', 'move to a better position in life or to a better job', 'go up or advance', 'become more extreme', 'get up and out of bed', 'rise in rank or status', 'become heartened or elated', 'exert oneself to meet a challenge', 'take part in a rebellion; renounce a former allegiance', 'increase in volume', 'come up, of celestial bodies', 'return from the dead']"
1,RUSSIA,"['a former communist country in eastern Europe and northern Asia; established in 1922; included Russia and 14 other soviet socialist republics (Ukraine and Byelorussia and others', 'formerly the largest Soviet Socialist Republic in the USSR occupying eastern Europe and northern Asia', 'a former empire in eastern Europe and northern Asia created in the 14th century with Moscow as the capital; powerful in the 17th and 18th centuries under Peter the Great and Catherine the Great when Saint Petersburg was the capital; overthrown by revolution in 1917', 'a federation in northeastern Europe and northern Asia; formerly Soviet Russia; since 1991 an independent state']"
1,SAMPLE,"['a small part of something intended as representative of the whole', 'items selected at random from a population and used to test hypotheses about the population', 'all or part of a natural object that is collected and preserved as an example of its class']"
1,SAMPLE,['take a sample of']
1,SAPIENS,['of or relating to or characteristic of Homo sapiens']
1,SCHOOLS,"['an educational institution', 'a building where young people receive education', 'the process of being formally educated at a school', 'a body of creative artists or writers or thinkers linked by a similar style or by similar teachers', 'the period of instruction in a school; the time period when school is in session', ""an educational institution's faculty and students"", 'a large group of fish']"
1,SCHOOLS,"['educate in or as if in a school', 'teach or refine to be discriminative in taste or judgment', 'swim in or form a large group of fish']"
1,SECONDLY,['in the second place']
1,SINGAPORE,"[""the capital of Singapore; one of the world's biggest ports"", 'a country in southeastern Asia on the island of Singapore; achieved independence from Malaysia in 1965', 'an island to the south of the Malay Peninsula']"
1,SINGAPOREANS,['an inhabitant of Singapore']
1,SOCIETIES,"['an extended social group having a distinctive cultural and economic organization', 'a formal association of people with similar interests', 'the state of being with someone', 'the fashionable elite']"
1,STANFORD,"['United States railroad executive and founder of Stanford University (1824-1893', 'a university in California']"
1,STATES,"['the territory occupied by one of the constituent administrative districts of a nation', 'the way something is with respect to its main attributes', 'the group of people comprising the government of a sovereign state', 'a politically organized body of people under a single government', '(chemistry', 'fixed shape and volume', 'fixed volume and shaped by the container', 'filling the container', 'a state of depression or agitation', 'the territory occupied by a nation', 'the federal department in the United States that sets and maintains foreign policies']"
1,STATES,"['express in words', 'put before', 'indicate through a symbol, formula, etc.']"
1,SURVEY,"['a detailed critical inspection', 'short descriptive summary (of events', 'the act of looking or seeing or observing']"
1,SURVEY,"['consider in a comprehensive way', 'look over carefully or inspect', 'keep under surveillance', 'hold a review (of troops', 'make a survey of; for statistical purposes', 'plot a map of (land']"
1,TASTEFUL,['having or showing or conforming to good taste']
1,TEENAGERS,['a juvenile between the onset of puberty and maturity']
1,THERE,['a location other than here; that place']
1,THERE,"['in or at that place or location', 'in that matter; in that respect; on that point', 'to or toward that place; away from the speaker']"
1,THEREFORE,"['(used to introduce a logical conclusion', 'as a consequence']"
1,TRUSTING,['inclined to believe or confide readily; full of trust']
1,TRUSTING,"['have confidence or faith in', 'allow without fear', 'be confident about something', 'expect and wish', 'confer a trust upon', '(chiefly archaic']"
1,UKRAINE,['a republic in southeastern Europe; formerly a European soviet; the center of the original Russian state which came into existence in the ninth century']
1,UNITED,"['characterized by unity; being or joined into a single entity', 'of or relating to two people who are married to each other']"
1,UNITED,"['act in concert or unite in a common purpose or belief', 'become one', 'have or possess in combination', 'be or become joined or united or linked', 'bring together for a common purpose or action or ideology or in a shared situation', 'join or combine']"
1,UNIVERSITY,"['the body of faculty and students at a university', 'establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching', 'a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees']"
1,ABDOMINAL,['the muscles of the abdomen']
1,ABDOMINAL,['of or relating to or near the abdomen']
1,ABILITY,"['the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment', 'possession of the qualities (especially mental qualities']"
1,ABOUT,['on the move']
1,ABOUT,"['(of quantities', 'all around or on all sides', 'or about', 'in the area or vicinity', 'used of movement to or among many different places or in no particular direction', 'or about', 'in or to a reversed position or direction', 'in rotation or succession', '(of actions or states']"
1,ACADEMIC,['an educator who works at a college or university']
1,ACADEMIC,"['associated with academia or an academy', 'hypothetical or theoretical and not expected to produce an immediate or practical result', 'marked by a narrow focus on or display of learning especially its trivial aspects']"
1,ACCELERATED,"['speeded up, as of an academic course']"
1,ACCELERATED,"['move faster', 'cause to move faster']"
1,ACCEPTED,['generally approved or compelling recognition']
1,ACCEPTED,"['consider or hold as true', 'receive willingly something given or offered', 'give an affirmative reply to; respond favorably to', 'react favorably to; consider right and proper', 'admit into a group or community', ""take on as one's own the expenses or debts of another person"", 'tolerate or accommodate oneself to', 'be designed to hold or take', 'receive (a report', 'make use of or accept for some purpose', 'be sexually responsive to, used of a female domesticated mammal']"
1,ACCESS,"['the right to enter', 'the right to obtain or make use of or take advantage of something (as services or membership', 'a way of entering or leaving', 'a code (a series of characters or digits', 'typed or dialed or spoken', 'a telephone line or a computer or a local area network etc.', '(computer science', 'the act of approaching or entering']"
1,ACCESS,"['obtain or retrieve from a storage device; as of information on a computer', 'reach or gain access to']"
1,ACCLAIMED,"['praise vociferously', ""clap one's hands or shout after performances to indicate approval""]"
1,ACCOMPANIED,"['having companions or an escort', 'playing or singing with instrumental or vocal accompaniment']"
1,ACCOMPANIED,"['be present or associated with an event or entity', 'go or travel along with', 'perform an accompaniment to', 'be a companion to somebody']"
1,ACCORDING,"[""(followed by `to'"", ""(followed by `to'""]"
1,ACCORDING,"['go together', 'allow to have']"
1,ACCURATELY,"['with few mistakes', 'strictly correctly']"
1,ACROSS,"['to the opposite side', 'transversely']"
1,ACTUALLY,"['in actual fact', 'used to imply that one would expect the fact to be the opposite of that stated; surprisingly', 'at the present moment', 'as a sentence modifier to add slight emphasis']"
1,ADULT,"['a fully developed person from maturity onward', 'any mature animal']"
1,ADULT,"['(of animals', 'designed to arouse lust']"
1,ADULTS,"['a fully developed person from maturity onward', 'any mature animal']"
1,ADVICE,['a proposal for an appropriate course of action']
1,AFFECTS,['the conscious subjective aspect of feeling or emotion']
1,AFFECTS,"['have an effect upon', 'act physically on; have an effect upon', 'connect closely and often incriminatingly', 'make believe with the intent to deceive', 'have an emotional or cognitive impact upon']"
1,AFFLUENCE,['abundant wealth']
1,AFFORD,"['be able to spare or give up', 'be the cause or source of', 'have the financial means to do something or buy something', 'afford access to']"
1,AGENDAS,"['a temporally organized plan for matters to be attended to', 'a list of matters to be taken up (as at a meeting']"
1,ALLEGEDLY,['according to what has been alleged']
1,ALLEVIATES,"['provide physical relief, as from pain', 'make easier']"
1,ALLOW,"['make it possible through a specific action or lack of action for something to happen', 'consent to, give permission', 'let have', 'give or assign a resource to a particular person or cause', 'make a possibility or provide opportunity for; permit to be attainable or cause to remain', 'allow or plan for a certain possibility; concede the truth or validity of something', 'afford possibility', 'allow the other (baseball', 'grant as a discount or in exchange', 'allow the presence of or allow (an activity']"
1,ALONG,"['with a forward motion', 'in accompaniment or as a companion', 'to a more advanced state', ""in addition (usually followed by `with'""]"
1,ALREADY,['prior to a specified or implied time']
1,ALTER,"['cause to change; make different; cause a transformation', ""become different in some particular way, without permanently losing one's or its former characteristics or essence"", 'make an alteration to', 'insert words into texts, often falsifying it thereby', 'remove the ovaries of']"
1,ALTERNATIVES,['one of a number of things from which only one can be chosen']
1,ALWAYS,"['at all times; all the time and on every occasion', 'without variation or change, in every case', 'without interruption', 'at any time or in any event', 'forever; throughout all time']"
1,AMATEUR,"['someone who pursues a study or sport as a pastime', 'an athlete who does not play for pay']"
1,AMATEUR,"['engaged in as a pastime', 'lacking professional skill or expertise']"
1,AMICABLY,['in an amicable manner']
1,AMOUNT,"['a quantity of money', 'the relative magnitude of something with reference to a criterion', 'how much there is or how many there are of something that you can quantify', 'a quantity obtained by the addition of a group of numbers']"
1,AMOUNT,"['be tantamount or equivalent to', 'add up in number or quantity', 'develop into']"
1,ANCESTORS,['someone from whom you are descended (but usually more remote than a grandparent']
1,ANCIENT,"['a very old person', 'a person who lived in ancient times']"
1,ANCIENT,"['belonging to times long past especially of the historical period before the fall of the Western Roman Empire', 'very old']"
1,ANONYMITY,['the state of being anonymous']
1,ANTIBODIES,"['any of a large variety of proteins normally present in the body or produced in response to an antigen which it neutralizes, thus producing an immune response']"
1,APART,"['remote and separate physically or socially', 'having characteristics not shared by others']"
1,APART,"['separated or at a distance in place or position or time', 'not taken into account or excluded from consideration', 'away from another or others', 'placed or kept separate and distinct as for a purpose', 'one from the other', 'into parts or pieces']"
1,ARISING,"['come into existence; take on form or shape', 'originate or come into being', ""rise to one's feet"", 'result or issue', 'move upward', 'take part in a rebellion; renounce a former allegiance', 'get up and out of bed']"
1,ASPECTS,"['a distinct feature or element in a problem', 'a characteristic to be considered', 'the visual percept of a region', 'the beginning or duration or completion or repetition of the action of a verb', ""the feelings expressed on a person's face""]"
1,ASPIRATIONS,"['a will to succeed', 'a cherished desire', 'a manner of articulation involving an audible release of breath', 'the act of inhaling; the drawing in of air (or other gases']"
1,ASSOCIATED,"['make a logical or causal connection', 'keep company with; hang out with', 'bring or come into association or action']"
1,ASSUMING,['excessively forward']
1,ASSUMING,"['take to be the case or to be true; accept without verification or proof', 'take on titles, offices, duties, responsibilities', 'take on a certain form, attribute, or aspect', ""take on as one's own the expenses or debts of another person"", 'occupy or take on', ""seize and take control without authority and possibly with force; take as one's right or possession"", 'make a pretence of', ""take up someone's soul into heaven"", ""put clothing on one's body""]"
1,ATTRIBUTED,"['attribute or credit to', 'decide as to where something belongs in a scheme']"
1,AUNTS,['the sister of your father or mother; the wife of your uncle']
1,AUTHENTICITY,['undisputed credibility']
1,AVAILABILITY,['the quality of being at hand when needed']
1,AVAILABLE,"['obtainable or accessible and ready for use or service', 'not busy; not otherwise committed', 'convenient for use or disposal']"
1,AWARE,"[""(sometimes followed by `of'"", 'bearing in mind; attentive to']"
1,BACKFIRE,"['the backward escape of gases and unburned gunpowder after a gun is fired', 'a loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine', 'a fire that is set intentionally in order to slow an approaching forest fire or grassfire by clearing a burned area in its path', 'a miscalculation that recoils on its maker']"
1,BACKFIRE,"['come back to the originator of an action with an undesired effect', 'emit a loud noise as a result of undergoing a backfire', 'set a controlled fire to halt an advancing forest to prairie fire']"
1,BALANCE,"['a state of equilibrium', 'equality between the totals of the credit and debit sides of an account', 'harmonious arrangement or relation of parts or elements within a whole (as in a design', 'equality of distribution', 'something left after other parts have been taken away', 'the difference between the totals of the credit and debit sides of an account', '(astrology', 'the seventh sign of the zodiac; the sun is in this sign from about September 23 to October 22', '(mathematics', 'a weight that balances another weight', 'a wheel that regulates the rate of movement in a machine; especially a wheel oscillating against the hairspring of a timepiece to regulate its beat', 'a scale for weighing; depends on pull of gravity']"
1,BALANCE,"['bring into balance or equilibrium', 'compute credits and debits of an account', 'hold or carry in equilibrium', 'be in equilibrium']"
1,BASIC,"[""a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use"", '(usually in the plural']"
1,BASIC,"['pertaining to or constituting a base or basis', 'reduced to the simplest and most significant form possible without loss of generality', 'serving as a base or starting point', 'of or denoting or of the nature of or containing a base']"
1,BECOME,"['enter or assume a certain state or condition', 'undergo a change or development', 'come into existence', 'enhance the appearance of']"
1,BECOMING,"['according with custom or propriety', 'displaying or setting off to best advantage']"
1,BECOMING,"['enter or assume a certain state or condition', 'undergo a change or development', 'come into existence', 'enhance the appearance of']"
1,BEFORE,"['earlier in time; previously', 'at or in the front']"
1,BEHIND,['the fleshy part of the human body that you sit on']
1,BEHIND,['having the lower score or lagging position in a contest']
1,BEHIND,"['in or to or toward the rear', 'remaining in a place or condition that has been left or departed from', 'of timepieces', 'in or into an inferior position', 'in debt']"
1,BEING,"['the state or fact of existing', 'a living thing that has (or can develop']"
1,BEING,"['have the quality of being; (copula, used with an adjective or a predicate noun', 'be identical to; be someone or something', 'occupy a certain position or area; be somewhere', 'have an existence, be extant', 'happen, occur, take place', 'be identical or equivalent to', 'form or compose', 'work in a specific place, with a specific subject, or in a specific function', 'represent, as of a character on stage', 'spend or use time', 'have life, be alive', 'to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form', 'be priced at']"
1,BEINGS,"['the state or fact of existing', 'a living thing that has (or can develop']"
1,BELIEVE,"['accept as true; take to be true', 'judge or regard; look upon; judge', 'be confident about something', 'follow a credo; have a faith; be a believer', 'credit with veracity']"
1,BENEFICIAL,['promoting or enhancing well-being']
1,BENEFITS,"['financial assistance in time of need', 'something that aids or promotes well-being', 'a performance to raise money for a charitable cause']"
1,BENEFITS,"['derive a benefit from', 'be beneficial for']"
1,BETTER,"['something superior in quality or condition or effect', 'someone who bets', 'a superior person having claim to precedence', 'the superior one of two alternatives']"
1,BETTER,"[""(comparative of `good'"", 'of the same class or set or kind', ""(comparative of `good'"", ""(comparative and superlative of `well'"", 'more than half', 'having desirable or positive qualities especially those suitable for a thing specified', 'having the normally expected amount', 'morally admirable', 'deserving of esteem and respect', 'promoting or enhancing well-being', 'agreeable or pleasing', 'of moral excellence', 'having or showing knowledge and skill and aptitude', 'thorough', 'with or in a close or intimate relationship', 'financially safe', 'most suitable or right for a particular purpose', 'resulting favorably', 'exerting force or influence', 'or in force', 'capable of pleasing', 'appealing to the mind', 'in excellent physical condition', 'tending to promote physical well-being; beneficial to health', 'not forged', 'not left to spoil', 'generally admired', 'in good health especially after having suffered illness or injury', 'resulting favorably', 'wise or advantageous and hence advisable']"
1,BETTER,"['surpass in excellence', 'to make better', 'get better']"
1,BETTER,"[""comparative of `well'; in a better or more excellent manner or more advantageously or attractively or to a greater degree etc."", 'from a position of superiority or authority', '(often used as a combining form', ""`good' is a nonstandard dialectal variant for `well'"", 'thoroughly or completely; fully; often used as a combining form', 'indicating high probability; in all likelihood', '(used for emphasis or as an intensifier', 'to a suitable or appropriate extent or degree', 'favorably; with approval', 'to a great extent or degree', 'or substantially', 'with great or especially intimate knowledge', 'with prudence or propriety', 'with skill or in a pleasing manner', 'in a manner affording benefit or advantage', 'in financial comfort', 'without unusual distress or resentment; with good humor']"
1,BEYOND,"['farther along in space or time or degree', 'on the farther side from the observer', 'in addition']"
1,BIGGER,"['above average in size or number or quantity or magnitude or extent', 'or large', 'significant', 'very intense', 'or bad', 'loud and firm', 'conspicuous in position or importance', 'prodigious', 'exhibiting self-importance', 'feeling self-importance', '(of animals', 'marked by intense physical force', 'generous and understanding and tolerant', 'given or giving freely', 'in an advanced stage of pregnancy', 'large or big relative to something else']"
1,BIGGER,"['extremely well', 'in a boastful manner', 'on a grand scale', 'in a major way']"
1,BODIES,"['the entire physical structure of an organism (an animal, plant, or human being', 'a group of persons associated by some common tie or occupation and regarded as an entity', 'a natural object consisting of a dead animal or person', 'an individual 3-dimensional object that has mass and that is distinguishable from other objects', 'the body excluding the head and neck and limbs', 'a collection of particulars considered as a system', 'the property of holding together and retaining its shape', 'the central message of a communication', 'the main mass of a thing', 'a resonating chamber in a musical instrument (as the body of a violin', 'the external structure of a vehicle']"
1,BODIES,['invest with or as with a body; give body to']
1,BONDING,"['a close personal relationship that forms between people (as between husband and wife or parent and child', '(dentistry', 'fastening firmly together']"
1,BONDING,"['stick to firmly', 'create social or emotional ties', 'issue bonds on', 'bring together in a common cause or emotion']"
1,BRANCHES,"['a division of some larger or more complex organization', 'a division of a stem, or secondary stem arising from the main stem of a plant', 'a part of a forked or branching shape', 'a natural consequence of development', 'a stream or river connected to a larger one', 'any projection that is thought to resemble a human arm']"
1,BRANCHES,"['grow and send out branches or branch-like structures', 'divide into two or more branches so as to form a fork']"
1,BRIGHTENING,"['make more cheerful through the use of color', 'become clear']"
1,BRINGING,['the act of delivering or distributing something (as goods or mail']
1,BRINGING,"['take something or somebody with oneself somewhere', 'cause to come into a particular state or condition', 'cause to happen or to occur as a consequence', 'go or come after and bring or take back', 'bring into a different state', 'be accompanied by', 'advance or set forth in court', 'bestow a quality on', 'be sold for a certain price', 'attract the attention of', 'induce or persuade']"
1,BROKE,['lacking funds']
1,BROKE,"['terminate', 'become separated into pieces or fragments', 'render inoperable or ineffective', 'ruin completely', 'destroy the integrity of; usually by force; cause to separate into pieces or fragments', 'act in disregard of laws, rules, contracts, or promises', 'move away or escape suddenly', 'scatter or part', 'force out or release suddenly and often violently something pent up', 'prevent completion', ""enter someone's (virtual or real"", 'make submissive, obedient, or useful', 'fail to agree with; be in violation of; as of rules or patterns', 'surpass in excellence', 'make known to the public information that was previously known only to a few people or that was meant to be kept a secret', 'come into being', 'stop operating or functioning', 'interrupt a continued activity', ""make a rupture in the ranks of the enemy or one's own by quitting or fleeing"", 'curl over and fall apart in surf or foam, of waves', 'lessen in force or effect', 'be broken in', 'come to an end', 'vary or interrupt a uniformity or continuity', 'cause to give up a habit', 'give up', 'come forth or begin from a state of latency', 'happen or take place', 'cause the failure or ruin of', 'invalidate by judicial action', 'discontinue an association or relation; go different ways', 'assign to a lower position; reduce in rank', 'reduce to bankruptcy', 'change directions suddenly', 'emerge from the surface of a body of water', 'break down, literally or metaphorically', 'do a break dance', 'exchange for smaller units of money', 'destroy the completeness of a set of related items', 'make the opening shot that scatters the balls', 'separate from a clinch, in boxing', 'go to pieces', 'break a piece from a whole', 'become punctured or penetrated', 'pierce or penetrate', 'be released or become known; of news', 'cease an action temporarily', 'interrupt the flow of current in', 'undergo breaking', 'find a flaw in', 'find the solution or key to', 'change suddenly from one tone quality or register to another', 'happen', 'become fractured; break or crack on the surface only', 'crack; of the male voice in puberty', 'fall sharply', 'fracture a bone of', 'diminish or discontinue abruptly', 'weaken or destroy in spirit or body']"
1,BROUGHT,"['take something or somebody with oneself somewhere', 'cause to come into a particular state or condition', 'cause to happen or to occur as a consequence', 'go or come after and bring or take back', 'bring into a different state', 'be accompanied by', 'advance or set forth in court', 'bestow a quality on', 'be sold for a certain price', 'attract the attention of', 'induce or persuade']"
1,BUILDING,"['a structure that has a roof and walls and stands more or less permanently in one place', 'the act of constructing something', 'the commercial activity involved in repairing old structures or constructing new ones', 'the occupants of a building']"
1,BUILDING,"['make by combining materials and parts', 'form or accumulate steadily', 'build or establish something abstract', 'improve the cleansing action of', 'order, supervise, or finance the construction of', 'give form to, according to a plan', 'be engaged in building', 'found or ground', 'bolster or strengthen', 'develop and grow']"
1,BUSINESSES,"['a commercial or industrial enterprise and the people who constitute it', 'the activity of providing goods and services involving financial and commercial and industrial aspects', 'the principal activity in your life that you do to earn money', 'a rightful concern or responsibility', 'an immediate objective', 'the volume of commercial activity', 'business concerns collectively', 'customers collectively', 'incidental activity performed by an actor for dramatic effect']"
1,BUYING,['the act of buying']
1,BUYING,"['obtain by purchase; acquire by means of a financial transaction', 'make illegal payments to in exchange for favors or influence', 'be worth or be capable of buying', 'acquire by trade or sacrifice or exchange', 'accept as true']"
1,BYPRODUCT,"['a secondary and sometimes unexpected consequence', 'a product made during the manufacture of something else']"
1,CAPACITY,"['capability to perform or produce', 'the susceptibility of something to a particular treatment', 'the amount that can be contained', 'the maximum production possible', 'a specified function', '(computer science', 'in bytes', 'an electrical phenomenon whereby an electric charge is stored', 'the power to learn or retain knowledge; in law, the ability to understand the facts and significance of your behavior', 'tolerance for alcohol']"
1,CARDINAL,"['(Roman Catholic Church', 'the number of elements in a mathematical set; denotes a quantity but not the order', 'a variable color averaging a vivid red', 'crested thick-billed North American finch having bright red plumage in the male']"
1,CARDINAL,"['serving as an essential component', 'being or denoting a numerical quantity but not order']"
1,CAREER,"['the particular occupation for which you are trained', 'the general progression of your working or professional life']"
1,CAREER,['move headlong at high speed']
1,CARRIED,"[""move while supporting, either in a vehicle or in one's hands or on one's body"", ""have with oneself; have on one's person"", 'transmit or serve as the medium for transmission', 'serve as a means for expressing something', 'bear or be able to bear the weight, pressure,or responsibility of', 'support or hold in a certain manner', 'contain or hold; have within', 'extend to a certain degree', 'continue or extend', 'be necessarily associated with or result in or involve', 'win in an election', 'include, as on a list', 'behave in a certain manner', 'have on hand', 'include as the content; broadcast or publicize', 'propel', 'pass on a communication', 'have as an inherent or characteristic feature or have as a consequence', 'be conveyed over a certain distance', 'keep up with financial support', 'have or possess something abstract', 'be equipped with (a mast or sail', 'win approval or support for', ""compensate for a weaker partner or member by one's own performance"", 'take further or advance', 'have on the surface or on the skin', 'capture after a fight', 'transfer (entries', 'transfer (a number, cipher, or remainder', 'pursue a line of scent or be a bearer', 'bear (a crop', 'propel or give impetus to', 'drink alcohol without showing ill effects', 'be able to feed', 'have a certain range', 'cover a certain distance or advance beyond', 'secure the passage or adoption (of bills and motions', 'be successful in', 'sing or play against other voices or parts', 'be pregnant with']"
